"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Value","Info"
"4399","67.771","Master_0xb7d465a0","LE 1M","ATT","23","48400\302\265s","1","1","False","66","0f0c170000000000000000000018ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4402","67.820","Slave_0xb7d465a0","LE 1M","ATT","17","150\302\265s","0","1","False","67","0f06170000000018ffff","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4426","68.405","Slave_0xb7d465a0","LE 1M","ATT","21","151\302\265s","0","1","False","79","564f4c4346540400000000011102001a","Rcvd Read Response, Handle: 0x0025 (Unknown: Unknown)"
"4463","69.380","Master_0xb7d465a0","LE 1M","ATT","23","48440\302\265s","1","1","False","99","0f0c0100152716120807e500005affff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4466","69.477","Slave_0xb7d465a0","LE 1M","ATT","15","150\302\265s","0","1","False","101","0f0401000002ffff","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4541","71.427","Master_0xb7d465a0","LE 1M","ATT","16","48441\302\265s","0","0","False","141","0f051000000011ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4544","71.476","Slave_0xb7d465a0","LE 1M","ATT","25","151\302\265s","1","0","False","142","0f0e1000001a640000000001000e60feffff","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4581","72.451","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","162","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4584","72.500","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","163","0f1104000100697ce8009c32000000000000a1","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4661","74.450","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","203","0f050c0000000dffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4664","74.499","Slave_0xb7d465a0","LE 1M","ATT","27","150\302\265s","1","0","True","204","0f330c0000000000000000000000000000000000","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4666","74.499","Slave_0xb7d465a0","LE 1M","ATT","27","151\302\265s","0","1","False","204","0000000000000000000000000000000000000000","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4668","74.547","Slave_0xb7d465a0","LE 1M","ATT","22","151\302\265s","1","0","False","205","0000000000299700002cfe00f7ffff","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4669","74.596","Master_0xb7d465a0","LE 1M","ATT","16","48264\302\265s","0","0","False","206","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4672","74.694","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","208","0f1104000100693de8009c3200000000000062","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4707","75.620","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","1","1","False","227","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4710","75.669","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","0","1","False","228","0f1104000100694ee8009b3200000000000072","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4755","76.839","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","1","1","False","252","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4758","76.888","Slave_0xb7d465a0","LE 1M","ATT","26","150\302\265s","0","1","False","253","0f11040001006915e8009b3200000000000039","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4793","77.814","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","272","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4796","77.863","Slave_0xb7d465a0","LE 1M","ATT","26","150\302\265s","1","0","False","273","0f11040001006941e8009b3200000000000065","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4833","78.837","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","293","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4836","78.886","Slave_0xb7d465a0","LE 1M","ATT","26","150\302\265s","1","0","False","294","0f11040001006900e8009b3200000000000024","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4873","79.861","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","314","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4876","79.910","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","315","0f11040001006964e8009c3200000000000089","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4913","80.885","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","335","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4916","80.934","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","336","0f11040001006974e8009c3200000000000099","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4951","81.860","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","1","1","False","355","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4954","81.909","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","0","1","False","356","0f110400010069a7e8009c32000000000000cc","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"4988","82.884","Master_0xb7d465a0","LE 1M","ATT","16","97190\302\265s","0","0","False","376","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"4991","82.933","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","377","0f11040001006942e8009b3200000000000066","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"5028","83.859","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","396","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"5031","83.908","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","397","0f11040001006958e8009c320000000000007d","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"5068","84.882","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","417","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"5071","84.931","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","418","0f11040001006980e8009c32000000000000a5","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"5108","85.906","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","0","0","False","438","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"5111","85.955","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","1","0","False","439","0f11040001006979e8009c320000000000009e","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"5146","86.881","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","1","1","False","458","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
"5149","86.930","Slave_0xb7d465a0","LE 1M","ATT","26","151\302\265s","0","1","False","459","0f110400010068f7e8009b320000000000001a","Rcvd Handle Value Notification, Handle: 0x002e (Unknown: Unknown)"
"5186","87.905","Master_0xb7d465a0","LE 1M","ATT","16","48440\302\265s","1","1","False","479","0f050400000005ffff","Sent Write Command, Handle: 0x002b (Unknown: Unknown)"
